name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
Sandy Shores Real Estate L.L.C S.O.C,sandy-shores-real-estate-l-l-c-s-o-c,https://datadubai.ae/developers/sandy-shores-real-estate-l-l-c-s-o-c/,2409,621,ok,3011500.0,3145.81,,,100.0,1,692,1
Townx Real Estate Development L.L.C,townx-real-estate-development-l-l-c,https://datadubai.ae/developers/townx-real-estate-development-l-l-c/,1213,591,ok,1245284.0,1547.0,4.5,24.9,55.2,6,2547,2
Mdn Real Estate L.L.C,mdn-real-estate-l-l-c,https://datadubai.ae/developers/mdn-real-estate-l-l-c/,995,578,ok,3600000.0,1699.41,24.4,29.3,27.2,15,3937,2
Avenew Real Estate Development L.L.C,avenew-real-estate-development-l-l-c,https://datadubai.ae/developers/avenew-real-estate-development-l-l-c/,1511,575,ok,1486000.0,1597.15,-45.2,228.6,99.8,7,1346,7
Obj1 Real Estate Development L.L.C,obj1-real-estate-development-l-l-c,https://datadubai.ae/developers/obj1-real-estate-development-l-l-c/,1894,571,ok,1026774.5,1548.54,4.7,-20.5,100.0,14,2241,14
Reef Luxury Development L.L.C,reef-luxury-development-l-l-c,https://datadubai.ae/developers/reef-luxury-development-l-l-c/,1944,563,ok,1100000.0,1582.65,5.4,223.6,100.0,6,1528,6
T F G Real Estate L.L.C,t-f-g-real-estate-l-l-c,https://datadubai.ae/developers/t-f-g-real-estate-l-l-c/,29,558,ok,850000.0,1103.0,0.7,-25.3,6.6,14,8359,0
S O L Properties Development L.L.C,s-o-l-properties-development-l-l-c,https://datadubai.ae/developers/s-o-l-properties-development-l-l-c/,999,554,ok,1466190.0,1849.37,-20.0,120.7,89.0,10,2370,5
Marquis Home Developer L.L.C,marquis-home-developer-l-l-c,https://datadubai.ae/developers/marquis-home-developer-l-l-c/,1546,547,ok,1138343.0,1638.11,33.2,2088.0,96.2,4,918,3
Wadan Real Estate Development L.L.C,wadan-real-estate-development-l-l-c,https://datadubai.ae/developers/wadan-real-estate-development-l-l-c/,2166,531,ok,1009860.0,1399.42,,,100.0,5,1012,5
Samana World Real Estate Development L.L.C,samana-world-real-estate-development-l-l-c,https://datadubai.ae/developers/samana-world-real-estate-development-l-l-c/,1933,483,ok,965155.0,1526.93,0.3,691.8,100.0,1,556,1
Mashriq Elite Real Estate Development L.L.C,mashriq-elite-real-estate-development-l-l-c,https://datadubai.ae/developers/mashriq-elite-real-estate-development-l-l-c/,1542,475,ok,1039000.0,1516.19,7.8,75.9,85.7,6,1090,5
Damac Properties Co (L.L.C),damac-properties-co-l-l-c,https://datadubai.ae/developers/damac-properties-co-l-l-c/,260,469,ok,822500.0,860.89,4.1,-30.5,0.0,27,6006,7
Jumeirah Hills Development L.L.C,jumeirah-hills-development-l-l-c,https://datadubai.ae/developers/jumeirah-hills-development-l-l-c/,1076,463,ok,3449500.0,2794.09,2.0,29.0,69.5,11,2902,4
Crestarc Developers L.L.C,crestarc-developers-l-l-c,https://datadubai.ae/developers/crestarc-developers-l-l-c/,2423,461,ok,3978828.0,3447.73,,,100.0,1,735,1
North Dubailand Projects L.L.C,north-dubailand-projects-l-l-c,https://datadubai.ae/developers/north-dubailand-projects-l-l-c/,1039,448,ok,3155000.0,1451.84,4.3,-67.7,26.1,20,6218,3
H M B Homes Real Estate Development,h-m-b-homes-real-estate-development,https://datadubai.ae/developers/h-m-b-homes-real-estate-development/,1220,440,ok,848985.5,1561.27,3.2,50.2,81.6,7,1632,4
Nshmi Development L.L.C,nshmi-development-l-l-c,https://datadubai.ae/developers/nshmi-development-l-l-c/,1063,419,ok,1300000.0,1264.57,11.8,-29.7,0.0,7,5323,0
Empire Crown Real Estate Development L.L.C,empire-crown-real-estate-development-l-l-c,https://datadubai.ae/developers/empire-crown-real-estate-development-l-l-c/,2046,414,ok,849777.0,1616.89,4.6,191.5,100.0,1,634,1
Park 1 L.L.C,park-1-l-l-c,https://datadubai.ae/developers/park-1-l-l-c/,1203,409,ok,2679777.0,2214.44,6.3,-63.7,74.8,7,4098,5
Ellington Sb Development L.L.C,ellington-sb-development-l-l-c,https://datadubai.ae/developers/ellington-sb-development-l-l-c/,2420,405,ok,1547828.0,1458.69,,,100.0,1,424,1
Lunaya Zaya Real Estate Development L.L.C S.O.C,lunaya-zaya-real-estate-development-l-l-c-s-o-c,https://datadubai.ae/developers/lunaya-zaya-real-estate-development-l-l-c-s-o-c/,2422,393,ok,6575000.0,2712.4,,,99.7,1,564,1
Dubai Investment Real Estate (L L C),dubai-investment-real-estate-l-l-c,https://datadubai.ae/developers/dubai-investment-real-estate-l-l-c/,278,392,ok,1130983.0,1045.48,-19.9,-24.8,34.4,7,4164,3
Majid Al Futtaim Tilal Al Ghaf Phase A L.L.C,majid-al-futtaim-tilal-al-ghaf-phase-a-l-l-c,https://datadubai.ae/developers/majid-al-futtaim-tilal-al-ghaf-phase-a-l-l-c/,1228,392,ok,6800000.0,2447.78,10.4,-18.3,5.4,9,2601,6
Samana Platinum Real Estate Development L.L.C,samana-platinum-real-estate-development-l-l-c,https://datadubai.ae/developers/samana-platinum-real-estate-development-l-l-c/,2072,387,ok,1079976.0,1495.73,,,100.0,6,1239,6
Damac Star Properties (L L C),damac-star-properties-l-l-c,https://datadubai.ae/developers/damac-star-properties-l-l-c/,907,385,ok,1400000.0,1437.43,-2.2,-23.0,0.0,12,4378,0
Holm Avenue Real Estate Development L.L.C,holm-avenue-real-estate-development-l-l-c,https://datadubai.ae/developers/holm-avenue-real-estate-development-l-l-c/,2428,370,ok,1102774.5,2421.38,,,100.0,2,428,2
