name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
The Waves Fz-Llc,the-waves-fz-llc,https://datadubai.ae/developers/the-waves-fz-llc/,920,192,ok,405500.0,1042.65,11.2,-30.7,0.0,1,1967,0
Vincitore Elite Real Estate Development L.L.C,vincitore-elite-real-estate-development-l-l-c,https://datadubai.ae/developers/vincitore-elite-real-estate-development-l-l-c/,1729,187,ok,1219000.0,1627.16,0.7,-61.4,100.0,1,987,1
Vision Platinum Real Estate Development L.L.C,vision-platinum-real-estate-development-l-l-c,https://datadubai.ae/developers/vision-platinum-real-estate-development-l-l-c/,1823,187,ok,978000.0,1198.1,17.9,-20.8,81.3,3,389,1
Meydan Group (L.L.C),meydan-group-l-l-c,https://datadubai.ae/developers/meydan-group-l-l-c/,1181,187,ok,6409745.0,2923.54,8.3,-71.8,0.0,6,1496,2
Eden Hills L.L.C,eden-hills-l-l-c,https://datadubai.ae/developers/eden-hills-l-l-c/,1498,184,ok,22150000.0,,,,0.0,1,279,1
Empire Real Estate Developments L.L.C,empire-real-estate-developments-l-l-c,https://datadubai.ae/developers/empire-real-estate-developments-l-l-c/,1794,181,ok,1110000.0,1698.9,3.2,-32.0,100.0,2,554,2
Takmeel Real Estate Development L.L.C,takmeel-real-estate-development-l-l-c,https://datadubai.ae/developers/takmeel-real-estate-development-l-l-c/,1520,180,ok,1099490.0,1379.75,30.6,140.0,81.1,4,568,2
One International Real Estate Development L.L.C,one-international-real-estate-development-l-l-c,https://datadubai.ae/developers/one-international-real-estate-development-l-l-c/,2045,179,ok,826000.0,1667.96,4.4,17.0,100.0,2,1748,2
Damac Canal One Property Development L.L.C,damac-canal-one-property-development-l-l-c,https://datadubai.ae/developers/damac-canal-one-property-development-l-l-c/,1119,177,ok,1200000.0,1774.77,-10.4,-27.2,36.7,2,2531,1
A M E Real Estate Development L.L.C,a-m-e-real-estate-development-l-l-c,https://datadubai.ae/developers/a-m-e-real-estate-development-l-l-c/,2107,176,ok,1250280.5,1268.23,4.1,388.9,93.2,2,238,1
Arabian Gulf Properties,arabian-gulf-properties,https://datadubai.ae/developers/arabian-gulf-properties/,1013,175,ok,1086723.0,1110.73,2.5,-43.4,63.4,12,1274,6
Vincitore Luxury Real Estate Development L.L.C,vincitore-luxury-real-estate-development-l-l-c,https://datadubai.ae/developers/vincitore-luxury-real-estate-development-l-l-c/,1949,173,ok,1343000.0,1772.3,2.3,-20.6,100.0,1,546,1
Devan Real Estate Development L.L.C,devan-real-estate-development-l-l-c,https://datadubai.ae/developers/devan-real-estate-development-l-l-c/,2114,171,ok,798702.0,1085.07,,,100.0,1,280,1
G&Co Real Estate Development Llc - Fz,g-and-co-real-estate-development-llc-fz,https://datadubai.ae/developers/g-and-co-real-estate-development-llc-fz/,946,169,ok,4050000.0,1709.63,5.3,-24.9,0.6,3,1699,0
International City ( L.L.C ),international-city-l-l-c,https://datadubai.ae/developers/international-city-l-l-c/,122,167,ok,440000.0,640.6,4.7,-22.3,0.0,7,2534,3
Samana Star Real Estate Development L.L.C,samana-star-real-estate-development-l-l-c,https://datadubai.ae/developers/samana-star-real-estate-development-l-l-c/,1688,166,ok,1860833.0,1749.05,9.5,-47.8,100.0,8,906,8
Oro24 Real Estate Development L.L.C,oro24-real-estate-development-l-l-c,https://datadubai.ae/developers/oro24-real-estate-development-l-l-c/,1369,160,ok,750000.0,1592.55,17.8,34.5,29.4,5,2443,4
Al Maskan Al Hadeeth Real Estate Developmant L.L.C,al-maskan-al-hadeeth-real-estate-developmant-l-l-c,https://datadubai.ae/developers/al-maskan-al-hadeeth-real-estate-developmant-l-l-c/,1190,159,ok,720000.0,895.77,-23.2,287.8,0.0,1,203,0
Abou Eid Real Estate Development L.L.C,abou-eid-real-estate-development-l-l-c,https://datadubai.ae/developers/abou-eid-real-estate-development-l-l-c/,1363,159,ok,973225.0,1258.47,-6.7,318.4,94.3,4,566,2
Dawn Real Estate Development L.L.C,dawn-real-estate-development-l-l-c,https://datadubai.ae/developers/dawn-real-estate-development-l-l-c/,1500,158,ok,1700000.0,1106.38,13.6,777.8,93.0,1,652,1
Mag 10 Property Development Dmcc,mag-10-property-development-dmcc,https://datadubai.ae/developers/mag-10-property-development-dmcc/,2159,152,ok,1530319.0,2303.43,2.2,105.4,100.0,1,463,1
Centurion Capital One Properties L.L.C,centurion-capital-one-properties-l-l-c,https://datadubai.ae/developers/centurion-capital-one-properties-l-l-c/,2213,152,ok,3991650.0,,,794.1,100.0,1,296,1
Aura Infinite Real Estate Development L.L.C,aura-infinite-real-estate-development-l-l-c,https://datadubai.ae/developers/aura-infinite-real-estate-development-l-l-c/,1676,150,ok,1516098.0,1248.7,19.0,57.9,80.0,4,314,2
Triplanet International (Fzc),triplanet-international-fzc,https://datadubai.ae/developers/triplanet-international-fzc/,205,150,ok,480000.0,922.32,8.3,-21.1,0.0,7,1942,0
Sunrise Capital Real Estate Development L.L.C,sunrise-capital-real-estate-development-l-l-c,https://datadubai.ae/developers/sunrise-capital-real-estate-development-l-l-c/,1481,149,ok,1154300.0,1406.68,0.1,152.5,94.6,2,407,1
Majid Developments L.L.C,majid-developments-l-l-c,https://datadubai.ae/developers/majid-developments-l-l-c/,1655,149,ok,724914.0,1578.3,-19.6,136.5,100.0,3,333,3
Al Mazaya Holding Company,al-mazaya-holding-company,https://datadubai.ae/developers/al-mazaya-holding-company/,784,149,ok,2243433.0,716.63,8.1,-44.0,0.0,23,1505,15
Key Mavens Montage Real Estate Development L.L.C,key-mavens-montage-real-estate-development-l-l-c,https://datadubai.ae/developers/key-mavens-montage-real-estate-development-l-l-c/,1771,148,ok,1325357.5,1868.01,1.2,54.2,100.0,1,251,1
H & H Development L.L.C,h-and-h-development-l-l-c,https://datadubai.ae/developers/h-and-h-development-l-l-c/,1751,147,ok,7401243.0,3976.09,-1.3,-34.1,87.1,2,566,1
Abwab Real Estate Limited Co (L.L.C),abwab-real-estate-limited-co-l-l-c,https://datadubai.ae/developers/abwab-real-estate-limited-co-l-l-c/,670,146,ok,2343265.0,1738.23,-2.9,97.3,0.0,5,525,1
Jad Global Real Estate Development L.L.C,jad-global-real-estate-development-l-l-c,https://datadubai.ae/developers/jad-global-real-estate-development-l-l-c/,1901,146,ok,1296566.5,1880.5,1.6,24.8,100.0,3,511,3
A Y S Property Development,a-y-s-property-development,https://datadubai.ae/developers/a-y-s-property-development/,1269,146,ok,806429.0,1183.85,7.0,7.4,89.7,5,913,4
Enso Development L.L.C,enso-development-l-l-c,https://datadubai.ae/developers/enso-development-l-l-c/,1801,143,ok,1623250.0,2153.39,-5.1,2760.0,100.0,2,176,2
Bloom Heights Properties L.L.C,bloom-heights-properties-l-l-c,https://datadubai.ae/developers/bloom-heights-properties-l-l-c/,1151,143,ok,918000.0,1443.93,5.8,-26.3,0.0,2,1636,0
Grid Viv Real Estate Development L.L.C,grid-viv-real-estate-development-l-l-c,https://datadubai.ae/developers/grid-viv-real-estate-development-l-l-c/,2634,142,ok,693000.0,1767.13,,,100.0,1,286,1
Tomorrow World Real Estate Development L.L.C,tomorrow-world-real-estate-development-l-l-c,https://datadubai.ae/developers/tomorrow-world-real-estate-development-l-l-c/,1977,142,ok,1936983.5,2092.98,,7000.0,100.0,3,307,3
Alseeb Real Estate Development L.L.C,alseeb-real-estate-development-l-l-c,https://datadubai.ae/developers/alseeb-real-estate-development-l-l-c/,1014,141,ok,1541550.5,1981.39,5.6,-39.0,53.9,8,1040,3
Al Khail Heights L.L.C,al-khail-heights-l-l-c,https://datadubai.ae/developers/al-khail-heights-l-l-c/,1008,137,ok,960000.0,884.4,12.7,-25.1,0.0,1,392,0
Prestige The Boulevard Real Estate Development L.L.C,prestige-the-boulevard-real-estate-development-l-l-c,https://datadubai.ae/developers/prestige-the-boulevard-real-estate-development-l-l-c/,2083,137,ok,698400.0,1384.86,-0.9,-42.2,100.0,1,387,1
Jumeirah Golf Estates L.L.C,jumeirah-golf-estates-l-l-c,https://datadubai.ae/developers/jumeirah-golf-estates-l-l-c/,108,137,ok,2575000.0,1517.06,10.1,-31.5,0.0,11,1004,0
Pdlm Residential L.L.C,pdlm-residential-l-l-c,https://datadubai.ae/developers/pdlm-residential-l-l-c/,1253,137,ok,2500000.0,2915.37,-0.1,-41.2,4.4,7,1516,0
P C I Real Estate Developers L.L.C,p-c-i-real-estate-developers-l-l-c,https://datadubai.ae/developers/p-c-i-real-estate-developers-l-l-c/,1397,136,ok,630000.0,1247.14,8.5,216.3,94.9,3,327,2
Namaa Properties Development L.L.C,namaa-properties-development-l-l-c,https://datadubai.ae/developers/namaa-properties-development-l-l-c/,965,136,ok,1075000.0,2201.15,-0.9,-28.0,0.0,2,1855,0
Imtiaz Ug Real Estate Development L.L.C,imtiaz-ug-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-ug-real-estate-development-l-l-c/,2212,136,ok,2689757.5,2329.96,-5.3,369.0,100.0,2,190,2
Peace Homes Real Estate L.L.C,peace-homes-real-estate-l-l-c,https://datadubai.ae/developers/peace-homes-real-estate-l-l-c/,1983,135,ok,765106.0,1526.06,-39.5,2150.0,100.0,2,615,2
The Developer Properties L.L.C,the-developer-properties-l-l-c,https://datadubai.ae/developers/the-developer-properties-l-l-c/,974,135,ok,900000.0,,,-50.2,0.0,3,1836,0
Ginco Properties L.L.C,ginco-properties-l-l-c,https://datadubai.ae/developers/ginco-properties-l-l-c/,1485,133,ok,1600000.0,2709.79,-0.1,-63.5,75.9,4,922,2
Range 4 Developments L.L.C,range-4-developments-l-l-c,https://datadubai.ae/developers/range-4-developments-l-l-c/,1046,130,ok,692500.0,1091.45,9.7,31.3,0.0,2,1340,0
Mirdad Real Estate Development L.L.C,mirdad-real-estate-development-l-l-c,https://datadubai.ae/developers/mirdad-real-estate-development-l-l-c/,2342,129,ok,1437514.0,1880.55,,,100.0,1,1114,1
Zimaya Properties L.L.C,zimaya-properties-l-l-c,https://datadubai.ae/developers/zimaya-properties-l-l-c/,1718,128,ok,1545725.0,1323.0,3.9,-37.9,100.0,4,560,4
Azure Horizon Real Estate Developments L.L.C,azure-horizon-real-estate-developments-l-l-c,https://datadubai.ae/developers/azure-horizon-real-estate-developments-l-l-c/,2493,127,ok,23171000.0,,,,100.0,1,186,1
S And S Real Estate Development L.L.C,s-and-s-real-estate-development-l-l-c,https://datadubai.ae/developers/s-and-s-real-estate-development-l-l-c/,1615,127,ok,979899.0,1554.38,-12.5,69.3,74.8,2,356,1
Jumeirah Park (L.L.C),jumeirah-park-l-l-c,https://datadubai.ae/developers/jumeirah-park-l-l-c/,880,127,ok,8650000.0,,,-25.3,0.0,6,806,1
Anax Developments L.L.C,anax-developments-l-l-c,https://datadubai.ae/developers/anax-developments-l-l-c/,1455,127,ok,2949277.0,3153.05,128.6,54.9,100.0,4,523,4
Al Fajer Properties (L. L. C),al-fajer-properties-l-l-c,https://datadubai.ae/developers/al-fajer-properties-l-l-c/,3,127,ok,3500425.0,,,-15.9,0.0,9,1430,4
Skyline Builders Real Estate L.L.C,skyline-builders-real-estate-l-l-c,https://datadubai.ae/developers/skyline-builders-real-estate-l-l-c/,1603,124,ok,1141181.5,1459.99,12.8,65.3,100.0,2,398,1
Alyakka Developers L.L.C,alyakka-developers-l-l-c,https://datadubai.ae/developers/alyakka-developers-l-l-c/,2237,124,ok,1059170.0,1676.44,-25.6,416.7,94.4,3,520,2
Igo Property Development L.L.C - Fz,igo-property-development-l-l-c-fz,https://datadubai.ae/developers/igo-property-development-l-l-c-fz/,992,123,ok,2450000.0,1544.95,8.2,-3.1,0.0,2,844,0
Srg Real Estate Developer L.L.C,srg-real-estate-developer-l-l-c,https://datadubai.ae/developers/srg-real-estate-developer-l-l-c/,1104,123,ok,1209444.0,2388.99,-12.7,-32.4,25.2,3,1127,1
Acw Holding Ltd,acw-holding-ltd,https://datadubai.ae/developers/acw-holding-ltd/,414,121,ok,460000.0,890.3,-0.6,-21.4,0.0,5,1169,1
Barari Three Real Estate Development L.L.C,barari-three-real-estate-development-l-l-c,https://datadubai.ae/developers/barari-three-real-estate-development-l-l-c/,1740,119,ok,5648534.5,2943.53,,,100.0,1,286,1
Sola Residences Real Estate Development L.L.C,sola-residences-real-estate-development-l-l-c,https://datadubai.ae/developers/sola-residences-real-estate-development-l-l-c/,2135,118,ok,1322905.0,1361.18,4.9,0.0,100.0,1,260,1
Diamond  Developers Co.Limited,diamond-developers-co-limited,https://datadubai.ae/developers/diamond-developers-co-limited/,6,118,ok,692500.0,993.93,8.8,-1.7,0.0,12,1153,0
Tfg International Real Estate Development L.L.C,tfg-international-real-estate-development-l-l-c,https://datadubai.ae/developers/tfg-international-real-estate-development-l-l-c/,1670,117,ok,1075000.0,,,-21.5,100.0,1,478,1
Damac World Real Estate L.L.C,damac-world-real-estate-l-l-c,https://datadubai.ae/developers/damac-world-real-estate-l-l-c/,1095,116,ok,1100000.0,1808.71,-10.5,-39.3,0.0,3,1711,0
Mag Eye Real Estate Development - Fz,mag-eye-real-estate-development-fz,https://datadubai.ae/developers/mag-eye-real-estate-development-fz/,1225,115,ok,1265000.0,1850.33,4.0,-60.1,0.0,1,128,0
Titans Real Estate Developers L.L.C,titans-real-estate-developers-l-l-c,https://datadubai.ae/developers/titans-real-estate-developers-l-l-c/,1096,115,ok,642000.0,975.84,1.8,22.3,0.0,1,531,0
Pure Bliss Development L.L.C,pure-bliss-development-l-l-c,https://datadubai.ae/developers/pure-bliss-development-l-l-c/,2180,115,ok,1072518.0,1239.14,,,100.0,1,131,1
Al Madar Investment (L.L.C),al-madar-investment-l-l-c,https://datadubai.ae/developers/al-madar-investment-l-l-c/,79,115,ok,853000.0,1230.06,-2.0,-50.2,0.0,7,1011,4
Beyond Vespera Real Estate Development L.L.C,beyond-vespera-real-estate-development-l-l-c,https://datadubai.ae/developers/beyond-vespera-real-estate-development-l-l-c/,2416,113,ok,10503000.0,,,,100.0,1,118,1
Business Bay (L.L.C),business-bay-l-l-c,https://datadubai.ae/developers/business-bay-l-l-c/,898,112,ok,4354981.5,1518.02,8.8,-11.1,0.0,1,1035,0
Imtiaz South Real Estate Development L.L.C,imtiaz-south-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-south-real-estate-development-l-l-c/,2579,112,ok,1355687.5,1556.0,,,100.0,1,170,1
Dar Global Luxury Property Development L.L.C S.O.C,dar-global-luxury-property-development-l-l-c-s-o-c,https://datadubai.ae/developers/dar-global-luxury-property-development-l-l-c-s-o-c/,2305,111,ok,3814498.0,3689.16,2.1,-58.3,100.0,1,574,1
Art Of Amber Real Estate Development L.L.C,art-of-amber-real-estate-development-l-l-c,https://datadubai.ae/developers/art-of-amber-real-estate-development-l-l-c/,2301,111,ok,857550.0,1059.96,,,100.0,1,267,1
Digo Real Estate Development (Br Of Invest Group Overseas (L L C) ),digo-real-estate-development-br-of-invest-group-overseas-l-l-c,https://datadubai.ae/developers/digo-real-estate-development-br-of-invest-group-overseas-l-l-c/,1328,107,ok,1808896.5,2233.98,-14.4,-74.6,86.9,8,1445,5
Seasons Development Limited,seasons-development-limited,https://datadubai.ae/developers/seasons-development-limited/,50,107,ok,845000.0,889.51,1.9,-21.3,0.0,2,366,0
Al Aryam Phase One L.L.C,al-aryam-phase-one-l-l-c,https://datadubai.ae/developers/al-aryam-phase-one-l-l-c/,945,106,ok,3555000.0,1294.09,8.9,-25.4,0.0,5,1899,0
Mag 5 Property Development L.L.C,mag-5-property-development-l-l-c,https://datadubai.ae/developers/mag-5-property-development-l-l-c/,1079,105,ok,650000.0,1115.06,9.9,-40.3,0.0,2,1452,1
Asak Real Estate Development L.L.C,asak-real-estate-development-l-l-c,https://datadubai.ae/developers/asak-real-estate-development-l-l-c/,1888,105,ok,863289.0,1447.89,-1.0,15.4,84.8,2,210,1
Dubai Sports City (L. L. C),dubai-sports-city-l-l-c,https://datadubai.ae/developers/dubai-sports-city-l-l-c/,200,105,ok,810000.0,934.47,9.2,-34.0,0.0,8,1151,1
Prestige The Parkway Real Estate Development L.L.C,prestige-the-parkway-real-estate-development-l-l-c,https://datadubai.ae/developers/prestige-the-parkway-real-estate-development-l-l-c/,2020,103,ok,1702260.0,1932.0,0.0,-33.5,100.0,1,274,1
Empire Gardens Real Estate Development L.L.C,empire-gardens-real-estate-development-l-l-c,https://datadubai.ae/developers/empire-gardens-real-estate-development-l-l-c/,2542,102,ok,1222277.0,1627.55,,,100.0,1,221,1
Deca Real Estate Development L.L.C,deca-real-estate-development-l-l-c,https://datadubai.ae/developers/deca-real-estate-development-l-l-c/,2149,102,ok,780940.5,1889.62,,,100.0,1,167,1
Grovy Homes Real Estate Development L.L.C,grovy-homes-real-estate-development-l-l-c,https://datadubai.ae/developers/grovy-homes-real-estate-development-l-l-c/,1429,102,ok,1032440.0,1249.35,-23.3,1940.0,82.4,3,352,2
Samana Premium Real Estate Development L.L.C,samana-premium-real-estate-development-l-l-c,https://datadubai.ae/developers/samana-premium-real-estate-development-l-l-c/,2071,102,ok,1199205.5,1683.12,,,100.0,2,523,2
City View Urban Real Estate Development L.L.C,city-view-urban-real-estate-development-l-l-c,https://datadubai.ae/developers/city-view-urban-real-estate-development-l-l-c/,2370,101,ok,1249143.0,2044.37,,,100.0,1,413,1
Karma D S C Developers L.L.C,karma-d-s-c-developers-l-l-c,https://datadubai.ae/developers/karma-d-s-c-developers-l-l-c/,2271,101,ok,1168976.0,1495.43,,10000.0,100.0,1,192,1
Liv Island Real Estate Development L.L.C,liv-island-real-estate-development-l-l-c,https://datadubai.ae/developers/liv-island-real-estate-development-l-l-c/,2523,101,ok,3959548.0,3155.74,,,100.0,1,118,1
Nabni Real Estate Development L.L.C,nabni-real-estate-development-l-l-c,https://datadubai.ae/developers/nabni-real-estate-development-l-l-c/,951,101,ok,1799968.5,1503.71,3.6,-30.3,52.5,8,790,5
Al Qudra Estates L.L.C,al-qudra-estates-l-l-c,https://datadubai.ae/developers/al-qudra-estates-l-l-c/,1270,100,ok,5700000.0,1677.51,12.1,6.4,18.0,3,828,1
Aum 99 Home Real Estate Developments L.L.C,aum-99-home-real-estate-developments-l-l-c,https://datadubai.ae/developers/aum-99-home-real-estate-developments-l-l-c/,2250,99,ok,526355.0,1525.0,,,100.0,1,186,1
Tanmiyat Global Real Estate Development   L L C,tanmiyat-global-real-estate-development-l-l-c,https://datadubai.ae/developers/tanmiyat-global-real-estate-development-l-l-c/,905,99,ok,4197176.0,946.47,11.8,-28.8,7.1,7,1301,2
Dutco Ellington Canal Front Real Estate L.L.C,dutco-ellington-canal-front-real-estate-l-l-c,https://datadubai.ae/developers/dutco-ellington-canal-front-real-estate-l-l-c/,1647,98,ok,3662828.0,2641.84,-0.3,16.7,100.0,1,298,1
Rs Realty Fz - L.L.C,rs-realty-fz-l-l-c,https://datadubai.ae/developers/rs-realty-fz-l-l-c/,973,97,ok,453630.0,733.59,1.4,203.1,0.0,1,406,0
Kasco Real Estate Development L.L.C,kasco-real-estate-development-l-l-c,https://datadubai.ae/developers/kasco-real-estate-development-l-l-c/,1764,97,ok,2262399.0,1856.78,-6.4,-74.7,85.6,3,557,2
Eta Star Property Developers L.L.C,eta-star-property-developers-l-l-c,https://datadubai.ae/developers/eta-star-property-developers-l-l-c/,26,97,ok,1157159.5,908.35,7.8,-33.1,0.0,11,1680,5
Al Aryam Phase Two L.L.C,al-aryam-phase-two-l-l-c,https://datadubai.ae/developers/al-aryam-phase-two-l-l-c/,994,97,ok,3350000.0,1109.71,10.1,-57.3,0.0,3,1394,0
Mag Property Development L.L.C,mag-property-development-l-l-c,https://datadubai.ae/developers/mag-property-development-l-l-c/,1164,96,ok,1119470.0,1337.09,-4.7,-45.1,52.1,3,1104,1
Adel Mohammad Saleh Ali Naqi Al Zarooni,adel-mohammad-saleh-ali-naqi-al-zarooni,https://datadubai.ae/developers/adel-mohammad-saleh-ali-naqi-al-zarooni/,720,95,ok,861300.0,945.38,-9.5,352.4,0.0,1,119,0
True Future Real Estate Development L.L.C,true-future-real-estate-development-l-l-c,https://datadubai.ae/developers/true-future-real-estate-development-l-l-c/,1926,95,ok,1495174.0,1930.07,31.7,86.3,100.0,2,240,2
Emirates National Investment Co (L.L.C),emirates-national-investment-co-l-l-c,https://datadubai.ae/developers/emirates-national-investment-co-l-l-c/,232,94,ok,1562113.0,1494.6,12.0,-21.7,0.0,2,1313,0
Blue Waters Residential L.L.C,blue-waters-residential-l-l-c,https://datadubai.ae/developers/blue-waters-residential-l-l-c/,1152,94,ok,5812500.0,3656.31,1.0,0.0,0.0,1,751,0
G J R E Real Estate L.L.C,g-j-r-e-real-estate-l-l-c,https://datadubai.ae/developers/g-j-r-e-real-estate-l-l-c/,1450,94,ok,2894422.0,2603.13,4.2,11.9,100.0,1,477,1
Octa Di Development Co. L.L.C,octa-di-development-co-l-l-c,https://datadubai.ae/developers/octa-di-development-co-l-l-c/,2087,94,ok,2570632.0,2321.01,,,100.0,1,112,1
Imtiaz Sunset Real Estate Development L.L.C,imtiaz-sunset-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-sunset-real-estate-development-l-l-c/,2157,94,ok,2538263.0,1954.56,2.7,-7.8,100.0,3,192,3
Centurion Star Developers L.L.C,centurion-star-developers-l-l-c,https://datadubai.ae/developers/centurion-star-developers-l-l-c/,2234,93,ok,2201850.0,,,232.1,100.0,1,128,1
Yangtze International Real Estate Developer L.L.C,yangtze-international-real-estate-developer-l-l-c,https://datadubai.ae/developers/yangtze-international-real-estate-developer-l-l-c/,2328,93,ok,873741.0,1180.27,,,100.0,1,190,1
Amwaj Alkhaleej Real Estate Development L.L.C,amwaj-alkhaleej-real-estate-development-l-l-c,https://datadubai.ae/developers/amwaj-alkhaleej-real-estate-development-l-l-c/,1710,93,ok,1694220.0,1824.45,6.4,-10.6,100.0,2,243,2
Cavara Real Estate Development L.L.C,cavara-real-estate-development-l-l-c,https://datadubai.ae/developers/cavara-real-estate-development-l-l-c/,2093,93,ok,1363704.0,1671.55,-2.7,564.3,100.0,3,286,3
Creek Views Real Estate Development L.L.C,creek-views-real-estate-development-l-l-c,https://datadubai.ae/developers/creek-views-real-estate-development-l-l-c/,1730,91,ok,27886488.0,,,9000.0,100.0,1,98,1
Credo Investments F Z E,credo-investments-f-z-e,https://datadubai.ae/developers/credo-investments-f-z-e/,356,91,ok,1159300.0,1272.23,12.4,-23.5,0.0,5,781,0
Jebel Ali Village (L.L.C),jebel-ali-village-l-l-c,https://datadubai.ae/developers/jebel-ali-village-l-l-c/,114,91,ok,4800000.0,,,68.5,0.0,4,898,0
Rose Homes Investment (L.L.C),rose-homes-investment-l-l-c,https://datadubai.ae/developers/rose-homes-investment-l-l-c/,126,90,ok,1200000.0,1194.0,19.7,-54.8,2.2,6,1023,3
Deyaar Bay Real Estate Development L.L.C,deyaar-bay-real-estate-development-l-l-c,https://datadubai.ae/developers/deyaar-bay-real-estate-development-l-l-c/,1336,88,ok,997500.0,1321.12,10.7,-16.2,100.0,1,717,1
Aa And Hmb Real Estate Development L.L.C,aa-and-hmb-real-estate-development-l-l-c,https://datadubai.ae/developers/aa-and-hmb-real-estate-development-l-l-c/,1627,87,ok,1077500.0,1405.39,7.5,-80.4,100.0,3,606,3
Segrex Development L.L.C,segrex-development-l-l-c,https://datadubai.ae/developers/segrex-development-l-l-c/,1287,87,ok,1050000.0,1399.11,2.8,-73.4,41.4,4,579,1
Sido Development L.L.C,sido-development-l-l-c,https://datadubai.ae/developers/sido-development-l-l-c/,1758,86,ok,993272.5,1399.77,24.4,258.3,100.0,1,228,1
Vincitore Real Estate Development L.L.C,vincitore-real-estate-development-l-l-c,https://datadubai.ae/developers/vincitore-real-estate-development-l-l-c/,1118,86,ok,912500.0,1558.11,13.9,-17.3,0.0,3,846,0
Ahmadyar Real Estate Development L.L.C,ahmadyar-real-estate-development-l-l-c,https://datadubai.ae/developers/ahmadyar-real-estate-development-l-l-c/,1775,86,ok,1324210.0,1341.34,4.9,26.5,100.0,2,214,2
One Yard Real Estate Development L.L.C,one-yard-real-estate-development-l-l-c,https://datadubai.ae/developers/one-yard-real-estate-development-l-l-c/,1626,85,ok,1008280.0,1445.34,0.3,431.2,100.0,1,191,1
Uniestate Properties L.L.C,uniestate-properties-l-l-c,https://datadubai.ae/developers/uniestate-properties-l-l-c/,971,85,ok,1004200.0,1186.37,-2.6,-49.1,0.0,5,600,0
Manazil Global Property Development L.L.C,manazil-global-property-development-l-l-c,https://datadubai.ae/developers/manazil-global-property-development-l-l-c/,1122,84,ok,850000.0,2252.0,58.8,366.7,0.0,1,943,0
D H G Property Development L.L.C,d-h-g-property-development-l-l-c,https://datadubai.ae/developers/d-h-g-property-development-l-l-c/,1619,84,ok,1664785.0,1436.59,2.5,-64.9,100.0,3,604,3
Green Yard Propertes Development L.L.C,green-yard-propertes-development-l-l-c,https://datadubai.ae/developers/green-yard-propertes-development-l-l-c/,1176,84,ok,625000.0,1395.89,5.2,3.7,58.3,3,845,0
Pan Global Development L.L.C,pan-global-development-l-l-c,https://datadubai.ae/developers/pan-global-development-l-l-c/,985,84,ok,595332.0,925.86,17.6,-14.3,0.0,4,800,1
Cayan Real Estate Investment & Development L.L.C,cayan-real-estate-investment-and-development-l-l-c,https://datadubai.ae/developers/cayan-real-estate-investment-and-development-l-l-c/,40,83,ok,2310000.0,2309.15,0.9,-7.8,0.0,2,1102,0
Aqua Real Estate Development L.L.C,aqua-real-estate-development-l-l-c,https://datadubai.ae/developers/aqua-real-estate-development-l-l-c/,1027,82,ok,633043.5,1575.62,8.6,57.7,0.0,3,519,0
Ab Developers L.L.C,ab-developers-l-l-c,https://datadubai.ae/developers/ab-developers-l-l-c/,1514,82,ok,1206574.5,1435.11,18.9,-4.7,70.7,2,239,1
Dar Global Properties L.L.C,dar-global-properties-l-l-c,https://datadubai.ae/developers/dar-global-properties-l-l-c/,1221,82,ok,2312500.0,2324.51,1.1,-43.1,45.1,2,851,1
Taraf Development L.L.C,taraf-development-l-l-c,https://datadubai.ae/developers/taraf-development-l-l-c/,1549,82,ok,1430500.0,1427.95,3.2,-67.8,98.8,5,758,5
Condor Golf Links 18 Real Estate Development L.L.C,condor-golf-links-18-real-estate-development-l-l-c,https://datadubai.ae/developers/condor-golf-links-18-real-estate-development-l-l-c/,2032,81,ok,897696.0,1869.81,13.2,-56.5,45.7,1,256,0
E L P D Developers L.L.C,e-l-p-d-developers-l-l-c,https://datadubai.ae/developers/e-l-p-d-developers-l-l-c/,1687,81,ok,1950000.0,1888.44,-3.8,-79.5,70.4,2,586,1
I K R Real Estate Development L.L.C,i-k-r-real-estate-development-l-l-c,https://datadubai.ae/developers/i-k-r-real-estate-development-l-l-c/,1803,80,ok,1044050.0,1349.68,-2.7,220.0,100.0,1,188,1
Harbour One Investment L.L.C,harbour-one-investment-l-l-c,https://datadubai.ae/developers/harbour-one-investment-l-l-c/,1900,80,ok,7652263.0,4006.17,5.6,-66.7,100.0,2,376,2
Saba 4 Fzco,saba-4-fzco,https://datadubai.ae/developers/saba-4-fzco/,1702,79,ok,3139400.0,2449.83,2.5,-56.6,100.0,1,547,1
Ag Properties L.L.C,ag-properties-l-l-c,https://datadubai.ae/developers/ag-properties-l-l-c/,1398,79,ok,589518.0,1057.92,5.2,-11.2,100.0,4,962,4
Deniz Properties L.L.C,deniz-properties-l-l-c,https://datadubai.ae/developers/deniz-properties-l-l-c/,1680,79,ok,968897.0,1114.75,7.4,58.0,100.0,2,234,2
Lapis Properties L.L.C,lapis-properties-l-l-c,https://datadubai.ae/developers/lapis-properties-l-l-c/,1927,78,ok,739606.5,1480.32,-1.0,-53.3,100.0,1,313,1
