community,community_slug,year,n,price_median,psf_median,value_total
THE SUSTAINABLE CITY,the-sustainable-city,2024,49,4500000.0,1990.47,214270297.0
THE SUSTAINABLE CITY,the-sustainable-city,2025,62,4800000.0,2071.27,281816732.0
THE SUSTAINABLE CITY,the-sustainable-city,2026,19,4950000.0,2140.52,94712958.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2017,230,2223388.0,995.04,554750240.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2018,100,2727388.0,952.8,263393800.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2019,157,2851888.0,943.0,442107091.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2020,79,2280000.0,888.22,184872517.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2021,149,2767576.0,995.02,419110028.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2022,56,3407500.0,1203.68,192691645.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2023,60,3950000.0,1429.88,229049976.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2024,43,4500000.0,1648.5,194437999.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2025,33,5650000.0,1841.22,188342500.0
DUBAI HILLS - MAPLE 3,dubai-hills-maple-3,2026,28,5450000.0,2131.13,151729000.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2010,5,7733000.0,,159466000.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2012,3,,,30700000.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2013,6,10000000.0,,66500000.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2014,10,15000000.0,,160813600.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2015,12,12885467.5,,253828918.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2016,14,10250000.0,,155338467.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2017,175,7512900.0,,1600490562.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2018,72,8133850.0,,957401250.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2019,20,9441725.0,,352402205.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2020,7,8072000.0,,74976600.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2021,10,4750000.0,,97772000.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2022,17,10500000.0,,248388991.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2023,6,15002500.0,,108510000.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2024,11,7925000.0,,99270000.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2025,28,9000000.0,,384418376.0
JABAL ALI INDUSTRIAL DEVELOPMENT,jabal-ali-industrial-development,2026,25,13000000.0,,404870450.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2016,457,2619888.0,984.4,1151258816.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2017,149,2670888.0,921.13,401473592.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2018,37,2280000.0,898.57,89451625.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2019,37,2588888.0,848.27,90988362.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2020,78,2100000.0,841.93,170298104.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2021,97,2850000.0,1019.1,284546602.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2022,74,3460000.0,1164.4,255632944.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2023,66,4065000.0,1415.66,264546772.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2024,68,4700000.0,1684.35,321225000.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2025,37,5450000.0,1926.47,203104999.0
DUBAI HILLS - MAPLE 2,dubai-hills-maple-2,2026,20,5250000.0,2077.66,106065000.0
DUBAI HILLS,dubai-hills,2015,1,,,0.0
DUBAI HILLS,dubai-hills,2016,1,,,0.0
DUBAI HILLS,dubai-hills,2021,33,30401888.0,,972029131.0
DUBAI HILLS,dubai-hills,2022,118,23846388.0,,2875624663.0
DUBAI HILLS,dubai-hills,2023,40,22814119.0,,891276145.0
DUBAI HILLS,dubai-hills,2024,134,12939523.5,,2352655645.0
DUBAI HILLS,dubai-hills,2025,55,15740081.0,,1154024981.0
DUBAI HILLS,dubai-hills,2026,20,23672586.0,,487676948.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2017,309,4078888.0,,1272341207.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2018,44,4073888.0,,175101296.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2019,41,3983888.0,,156752088.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2020,79,3600000.0,,301795433.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2021,72,4475000.0,,322689102.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2022,57,5300000.0,,314995027.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2023,51,6600000.0,,373915500.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2024,31,8800000.0,,302275000.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2025,26,11125000.0,,300025000.0
DUBAI HILLS - SIDRA 2,dubai-hills-sidra-2,2026,19,11800000.0,,227252500.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2016,436,4120888.0,,1831613168.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2017,9,4000000.0,,36270651.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2018,29,3650000.0,,106947653.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2019,51,3700000.0,,193087416.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2020,42,3695000.0,,158865515.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2021,94,4300000.0,,413084245.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2022,48,5750000.0,,285521499.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2023,48,7375000.0,,356985000.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2024,40,8275000.0,,367829950.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2025,45,11000000.0,,502420888.0
DUBAI HILLS - SIDRA 1,dubai-hills-sidra-1,2026,18,9150000.0,,175300000.0
Uptown Mirdif,uptown-mirdif,2014,455,950000.0,632.17,457787232.0
Uptown Mirdif,uptown-mirdif,2015,196,993750.0,1119.79,225126734.0
Uptown Mirdif,uptown-mirdif,2016,86,1229000.0,645.22,105518922.0
Uptown Mirdif,uptown-mirdif,2017,31,1000000.0,1041.84,42426134.0
Uptown Mirdif,uptown-mirdif,2018,21,1150000.0,796.31,29960000.0
Uptown Mirdif,uptown-mirdif,2019,16,1050000.0,742.0,18009879.0
Uptown Mirdif,uptown-mirdif,2020,21,820000.0,686.67,22595000.0
Uptown Mirdif,uptown-mirdif,2021,26,867500.0,649.7,28854933.0
Uptown Mirdif,uptown-mirdif,2022,31,915000.0,646.6,32653857.0
Uptown Mirdif,uptown-mirdif,2023,45,800000.0,710.08,40592909.0
Uptown Mirdif,uptown-mirdif,2024,73,875000.0,779.6,71777790.0
Uptown Mirdif,uptown-mirdif,2025,49,1000000.0,861.51,49979988.0
Uptown Mirdif,uptown-mirdif,2026,13,1000000.0,993.93,16155000.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2017,186,4066388.0,,751872168.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2018,58,3990388.0,,224130504.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2019,48,3553388.0,,182588184.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2020,45,3515000.0,,158784115.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2021,73,4300000.0,,315955179.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2022,37,5100000.0,,191943776.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2023,32,6625000.0,,216280000.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2024,34,7900000.0,,287500000.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2025,38,9550000.0,,372300000.0
DUBAI HILLS - SIDRA 3,dubai-hills-sidra-3,2026,14,9200000.0,,126500000.0
TECOM Site D,tecom-site-d,2011,1,,,76465890.0
TECOM Site D,tecom-site-d,2014,2,,,120393000.0
TECOM Site D,tecom-site-d,2020,1,,,75000000.0
TECOM Site D,tecom-site-d,2024,139,1709888.0,2670.98,260157888.0
TECOM Site D,tecom-site-d,2025,625,1676052.0,2663.11,1154272965.0
TECOM Site D,tecom-site-d,2026,7,2255888.0,2430.09,15056540.0
Nad Al Shiba Villas,nad-al-shiba-villas,2019,3,,,10630000.0
Nad Al Shiba Villas,nad-al-shiba-villas,2020,436,2398000.0,,1067828100.0
Nad Al Shiba Villas,nad-al-shiba-villas,2021,683,2648000.0,,1823446070.0
Nad Al Shiba Villas,nad-al-shiba-villas,2022,114,2939000.0,,343923878.0
Nad Al Shiba Villas,nad-al-shiba-villas,2023,44,3500000.0,,155616000.0
Nad Al Shiba Villas,nad-al-shiba-villas,2024,43,3930000.0,,170669400.0
Nad Al Shiba Villas,nad-al-shiba-villas,2025,36,4550000.0,,165580000.0
Nad Al Shiba Villas,nad-al-shiba-villas,2026,16,4999999.5,,80155999.0
Liwan2,liwan2,2017,127,2171000.0,,299913000.0
Liwan2,liwan2,2018,29,2366000.0,,77484000.0
Liwan2,liwan2,2019,2,,,2200000.0
Liwan2,liwan2,2020,7,1500000.0,,12001000.0
Liwan2,liwan2,2021,10,1812500.0,,30495000.0
Liwan2,liwan2,2022,14,2150000.0,,40346600.0
Liwan2,liwan2,2023,36,3475000.0,,149527818.0
Liwan2,liwan2,2024,31,4450000.0,,143677707.0
Liwan2,liwan2,2025,18,1649602.0,1095.31,115742451.0
Liwan2,liwan2,2026,16,1335000.0,1119.77,106575500.0
Badra,badra,2010,175,895300.0,1261.38,184863200.0
Badra,badra,2014,2,,,1350000.0
Badra,badra,2015,62,1990450.0,1041.09,112542088.0
Badra,badra,2016,21,886700.0,874.41,19274688.0
Badra,badra,2017,25,886700.0,1228.39,24882600.0
Badra,badra,2018,9,800000.0,785.18,7562593.0
Badra,badra,2019,9,605000.0,,8141900.0
Badra,badra,2020,6,291000.0,438.33,1872000.0
Badra,badra,2021,8,412000.0,441.66,4184000.0
Badra,badra,2022,19,423000.0,479.92,9535828.0
Badra,badra,2023,31,540800.0,488.28,18933262.0
Badra,badra,2024,31,482500.0,587.11,17625208.0
Badra,badra,2025,34,792500.0,738.42,31993772.0
Badra,badra,2026,11,760000.0,748.03,9580000.0
Springs - 3,springs-3,2010,73,1090000.0,316.82,88876512.0
Springs - 3,springs-3,2011,73,1130000.0,426.56,94783762.0
Springs - 3,springs-3,2012,90,1400000.0,571.47,130541872.0
Springs - 3,springs-3,2013,94,1850000.0,683.4,160393125.0
Springs - 3,springs-3,2014,46,2120000.0,761.89,81574390.0
Springs - 3,springs-3,2015,53,1987500.0,714.45,110211254.0
Springs - 3,springs-3,2016,38,2157500.0,832.67,78119776.0
Springs - 3,springs-3,2017,41,2240000.0,834.84,89847288.0
Springs - 3,springs-3,2018,33,1763000.0,639.01,63671500.0
Springs - 3,springs-3,2019,28,1485000.0,568.63,42495000.0
Springs - 3,springs-3,2020,33,1650000.0,602.44,54320000.0
Springs - 3,springs-3,2021,49,2180000.0,786.89,105997000.0
Springs - 3,springs-3,2022,52,2250000.0,921.34,118182185.0
Springs - 3,springs-3,2023,65,2900000.0,1039.26,192850000.0
Springs - 3,springs-3,2024,62,3875000.0,1271.11,235380700.0
Springs - 3,springs-3,2025,55,4064000.0,1578.47,228310526.0
Springs - 3,springs-3,2026,4,,,10790000.0
Jumeira Bay,jumeira-bay,2014,18,24442686.0,,524547389.0
Jumeira Bay,jumeira-bay,2015,64,33020877.0,,2060829509.0
Jumeira Bay,jumeira-bay,2016,11,35271680.0,,406095457.0
Jumeira Bay,jumeira-bay,2017,62,24100000.0,,337264828.0
Jumeira Bay,jumeira-bay,2018,53,5366000.0,,246532800.0
Jumeira Bay,jumeira-bay,2019,138,5757000.0,1688.2,689526600.0
Jumeira Bay,jumeira-bay,2020,73,10636000.0,,697507692.0
Jumeira Bay,jumeira-bay,2021,101,38000000.0,2346.56,1476177220.0
Jumeira Bay,jumeira-bay,2022,73,46250000.0,3388.74,1072098000.0
Jumeira Bay,jumeira-bay,2023,76,61000000.0,,818649997.0
Jumeira Bay,jumeira-bay,2024,58,,,233485396.0
Jumeira Bay,jumeira-bay,2025,35,,,152000000.0
Jumeira Bay,jumeira-bay,2026,12,,,85000000.0
Meadows 9,meadows-9,2010,56,2005944.0,,124009409.0
Meadows 9,meadows-9,2011,53,2650000.0,,134920840.0
Meadows 9,meadows-9,2012,52,3847500.0,,184350553.0
Meadows 9,meadows-9,2013,60,4350000.0,,237283969.0
Meadows 9,meadows-9,2014,24,5290000.0,,119739310.0
Meadows 9,meadows-9,2015,23,4500000.0,,93080376.0
Meadows 9,meadows-9,2016,19,4200000.0,,73755443.0
Meadows 9,meadows-9,2017,21,3950000.0,,82741000.0
Meadows 9,meadows-9,2018,19,3400000.0,,62858800.0
Meadows 9,meadows-9,2019,15,3050000.0,,47817500.0
Meadows 9,meadows-9,2020,35,3050000.0,,109610000.0
Meadows 9,meadows-9,2021,41,4100000.0,,172414968.0
Meadows 9,meadows-9,2022,31,5000000.0,,159635000.0
Meadows 9,meadows-9,2023,42,5750000.0,,253679950.0
Meadows 9,meadows-9,2024,70,6855000.0,,508600841.0
Meadows 9,meadows-9,2025,56,8750000.0,,512142333.0
Meadows 9,meadows-9,2026,2,,,22400000.0
