name,url,yield_pct,segments,contracts_used,ready_sales_used,price_median
DUBAI HILLS - MAPLE 2,https://datadubai.ae/communities/dubai-hills-maple-2/,5.0,1,158,19,5300000.0
The Valley,https://datadubai.ae/communities/the-valley/,4.94,2,659,231,3280388.0
Dubai World Central,https://datadubai.ae/communities/dubai-world-central/,4.91,4,2500,270,978000.0
Jumeirah Garden City,https://datadubai.ae/communities/jumeirah-garden-city/,4.86,2,3108,85,1428590.0
DUBAI HILLS - MAPLE 3,https://datadubai.ae/communities/dubai-hills-maple-3/,4.74,1,157,22,5600000.0
Mohammed Bin Rashid AL Maktoum District 11,https://datadubai.ae/communities/mohammed-bin-rashid-al-maktoum-district-11/,4.68,1,281,119,2645729.0
Arabian Ranches - 1,https://datadubai.ae/communities/arabian-ranches-1/,4.46,2,845,141,6800000.0
Mina Rashid,https://datadubai.ae/communities/mina-rashid/,4.39,1,43,15,2382888.0
Springs - 1,https://datadubai.ae/communities/springs-1/,4.39,2,178,47,4575000.0
Springs - 2,https://datadubai.ae/communities/springs-2/,4.06,2,140,49,4000000.0
Dubai Investment Park First,https://datadubai.ae/communities/dubai-investment-park-first/,4.01,4,2666,96,1201600.0
Emirates Living,https://datadubai.ae/communities/emirates-living/,4.01,2,1195,210,4999999.5
Site A,https://datadubai.ae/communities/site-a/,3.86,1,101,29,2300000.0
