name,url,contracts,rent_median,yield_pct
DUBAI HILLS - MAPLE 1,https://datadubai.ae/communities/dubai-hills-maple-1/,356,275000.0,5.28
Nad Al Sheba Gardens,https://datadubai.ae/communities/nad-al-sheba-gardens/,350,150000.0,
Madinat Badr,https://datadubai.ae/communities/madinat-badr/,328,100000.0,6.05
Dubai Water Canal,https://datadubai.ae/communities/dubai-water-canal/,326,210000.0,5.11
DUBAI HILLS - MAPLE 2,https://datadubai.ae/communities/dubai-hills-maple-2/,324,260000.0,5.0
The Villa,https://datadubai.ae/communities/the-villa/,310,300000.0,
Garden View,https://datadubai.ae/communities/garden-view/,285,170000.0,
Uptown Mirdif,https://datadubai.ae/communities/uptown-mirdif/,282,82000.0,
DUBAI HILLS - MAPLE 3,https://datadubai.ae/communities/dubai-hills-maple-3/,278,260000.0,4.74
JABEL ALI HILLS,https://datadubai.ae/communities/jabel-ali-hills/,252,54883.0,
THE SUSTAINABLE CITY,https://datadubai.ae/communities/the-sustainable-city/,241,213675.0,5.4
Al Barari,https://datadubai.ae/communities/al-barari/,224,450000.0,10.32
JABAL ALI INDUSTRIAL DEVELOPMENT,https://datadubai.ae/communities/jabal-ali-industrial-development/,196,30000.0,
Bluewaters Island,https://datadubai.ae/communities/bluewaters-island/,193,420000.0,5.09
Springs - 1,https://datadubai.ae/communities/springs-1/,179,200000.0,4.39
DUBAI HILLS - SIDRA 1,https://datadubai.ae/communities/dubai-hills-sidra-1/,157,450000.0,
DUBAI HILLS - SIDRA 2,https://datadubai.ae/communities/dubai-hills-sidra-2/,149,415000.0,
Springs - 2,https://datadubai.ae/communities/springs-2/,142,185000.0,4.06
Falcon City,https://datadubai.ae/communities/falcon-city/,136,210000.0,
Dubai Maritime City,https://datadubai.ae/communities/dubai-maritime-city/,132,100000.0,5.38
Sama Al Jadaf,https://datadubai.ae/communities/sama-al-jadaf/,118,100000.0,
DUBAI HILLS - SIDRA 3,https://datadubai.ae/communities/dubai-hills-sidra-3/,110,425000.0,
Springs - 3,https://datadubai.ae/communities/springs-3/,104,190000.0,
DMCC-EZ2,https://datadubai.ae/communities/dmcc-ez2/,83,26000.0,
Dubai Industrial City,https://datadubai.ae/communities/dubai-industrial-city/,81,33465.6,
DMCC-EZ1,https://datadubai.ae/communities/dmcc-ez1/,81,150000.0,
Mina Rashid,https://datadubai.ae/communities/mina-rashid/,72,100000.0,4.39
Jumeira Bay,https://datadubai.ae/communities/jumeira-bay/,61,1100000.0,
Meadows 9,https://datadubai.ae/communities/meadows-9/,41,375000.0,
Jabal Ali Village,https://datadubai.ae/communities/jabal-ali-village/,37,240000.0,
DUBAI HILLS,https://datadubai.ae/communities/dubai-hills/,28,1200000.0,
