name,slug,url,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share
Al Yelayiss 5,al-yelayiss-5,https://datadubai.ae/areas/al-yelayiss-5/,924,ok,7843888.0,,,,0.0
Zaabeel Second,zaabeel-second,https://datadubai.ae/areas/zaabeel-second/,864,ok,3880000.0,3144.6,15.0,68.1,85.3
Al Safouh First,al-safouh-first,https://datadubai.ae/areas/al-safouh-first/,725,ok,2345310.0,2362.02,31.2,283.6,89.8
Palm Jabal Ali,palm-jabal-ali,https://datadubai.ae/areas/palm-jabal-ali/,699,ok,7801500.0,3498.79,,9.6,55.9
Me'Aisem Second,meaisem-second,https://datadubai.ae/areas/meaisem-second/,678,ok,15831888.0,,,-40.8,0.0
Trade Center Second,trade-center-second,https://datadubai.ae/areas/trade-center-second/,645,ok,6402000.0,4572.1,1.3,139.8,94.3
Saih Shuaib 1,saih-shuaib-1,https://datadubai.ae/areas/saih-shuaib-1/,643,ok,5434261.5,2712.4,,46.1,61.0
Al Thanyah Third,al-thanyah-third,https://datadubai.ae/areas/al-thanyah-third/,627,ok,2130000.0,1897.15,9.4,-27.0,6.5
Ras Al Khor Industrial First,ras-al-khor-industrial-first,https://datadubai.ae/areas/ras-al-khor-industrial-first/,609,ok,2200000.0,2345.91,5.9,-33.3,98.5
Al Hebiah Sixth,al-hebiah-sixth,https://datadubai.ae/areas/al-hebiah-sixth/,599,ok,3600000.0,1699.41,24.4,26.4,26.2
Al Thanayah Fourth,al-thanayah-fourth,https://datadubai.ae/areas/al-thanayah-fourth/,529,ok,4999000.0,1656.99,11.4,-24.4,0.0
Um Suqaim Third,um-suqaim-third,https://datadubai.ae/areas/um-suqaim-third/,470,ok,3458000.0,2794.09,2.0,26.7,68.5
Al Safouh Second,al-safouh-second,https://datadubai.ae/areas/al-safouh-second/,445,ok,2300000.0,1631.32,-46.9,70.5,28.1
Al Kifaf,al-kifaf,https://datadubai.ae/areas/al-kifaf/,409,ok,2679777.0,2214.44,6.3,-63.7,74.8
Al Thanyah First,al-thanyah-first,https://datadubai.ae/areas/al-thanyah-first/,355,ok,1800000.0,1500.0,-9.5,-30.5,7.6
